P25823	FBgn0003891
Q9VHB7	FBgn0027950
A1Z9J2	FBgn0013733
Q9VR35	FBgn0031637
M9NE35	FBgn0031055
Q960V1	FBgn0010762
Q27350	FBgn0003460
O62609	FBgn0011655
P20482	FBgn0262975
Q9VB23	FBgn0027492
Q9V3Y8	FBgn0086657
Q9VTE5	FBgn0010741
Q86BS0	FBgn0262483
Q9VTC4	FBgn0036107
Q02637	FBgn0005638
Q7JX41	FBgn0033081
O61443	FBgn0024846
O77059	FBgn0025680
Q24454	FBgn0003087
Q9VJV8	FBgn0004407
P11346	FBgn0003079
Q9V3H2	FBgn0028694
Q7K1Y4	FBgn0033972
Q9VP57	FBgn0259785
P19339	FBgn0264270
Q9GNK5	FBgn0035976
P25843	FBgn0000308
M9PGB1	FBgn0015803
Q9VUQ5	FBgn0087035
Q24087	FBgn0002707
Q9VFP2	FBgn0264493
Q95SI0	FBgn0003716
Q9VJE5	FBgn0020503
Q24133	FBgn0263106
Q8IPH9	FBgn0264087
M9PAY7	FBgn0020622
Q9VK54	FBgn0015399
Q9W1E5	FBgn0002791
Q86CW5	FBgn0001206
Q24025	FBgn0003463
Q7JXA8	FBgn0004400
Q9U3V9	FBgn0028974
P08510	FBgn0003380
Q9W1I2	FBgn0004581
Q9VS48	FBgn0002909
Q9VEN9	FBgn0266053
Q24311	FBgn0015509
X2J6Q6	FBgn0031495
Q7KUD5	FBgn0044048
O15945	FBgn0264075
Q9W542	FBgn0023509
Q8IQJ9	FBgn0036373
Q9VHP9	FBgn0266916
Q9W0G1	FBgn0267487
Q9VCC9	FBgn0026317
P48810	FBgn0004237
Q9VSG1	FBgn0265089
P39769	FBgn0004861
Q0E9G3	FBgn0033224
Q02308	FBgn0001169
Q9VAT0	FBgn0024273
O16844	FBgn0000352
Q9U1K1	FBgn0003475
Q9VFF3	FBgn0038269
Q9TVQ5	FBgn0028683
Q9VEB9	FBgn0011481
Q9W0K0	FBgn0040281
Q9V3Z6	FBgn0000317
P09077	FBgn0003339
Q9V407	FBgn0026597
M9PHZ3	FBgn0031054
Q24106	FBgn0003997
Q8MSX2	FBgn0024330
P92208	FBgn0000229
P32866	FBgn0261988
Q9VYY9	FBgn0262740
Q24040	FBgn0013753
Q9VQ08	FBgn0002543
Q7K0L8	FBgn0033806
Q9VM62	FBgn0020616
Q9VKN7	FBgn0024227
P81917	FBgn0026389
Q8ML92	FBgn0050476
Q7KRW1	FBgn0039668
Q8T0G4	FBgn0039994
P48462	FBgn0000711
Q9VVI2	FBgn0036735
P33244	FBgn0001078
Q7KSP6	FBgn0025802
Q24120	FBgn0000256
P14785	FBgn0000404
A1Z6I7	FBgn0263855
Q7K304	FBgn0028408
P25439	FBgn0000212
Q9W102	FBgn0023181
Q9W2R4	FBgn0011674
Q9W0T1	FBgn0000541
Q24151	FBgn0016917
Q9XYF4	FBgn0026404
Q24044	FBgn0001086
Q7KMP8	FBgn0028691
Q05344	FBgn0010278
Q7YZ95	FBgn0037236
Q9XZ31	FBgn0027513
P21187	FBgn0265297
Q24306	FBgn0260635
Q9V3B4	FBgn0038928
Q9VWD9	FBgn0031057
O46034	FBgn0020224
P29310	FBgn0004907
P35875	FBgn0010247
Q9VP22	FBgn0037093
P29349	FBgn0000382
Q8MQJ7	FBgn0260945
O46308	FBgn0000826
Q9VGA4	FBgn0038016
Q9W1R5	FBgn0003977
Q9VIW8	FBgn0032780
Q9VVT5	FBgn0036819
Q9VT51	FBgn0036046
Q94524	FBgn0024432
Q9V9S7	FBgn0039883
P13097	FBgn0002633
Q9VAF4	FBgn0039710
P20439	FBgn0000405
Q9XYZ4	FBgn0020270
P26675	FBgn0001965
P91664	FBgn0017578
P91682	FBgn0003444
P50536	FBgn0002775
P16241	FBgn0086680
Q9VT57	FBgn0015618
Q7KSD8	FBgn0263738
P20227	FBgn0003687
P33450	FBgn0001075
Q9V455	FBgn0027338
Q9VAP2	FBgn0039638
Q9NHD5	FBgn0024188
P25160	FBgn0000115
P34082	FBgn0000635
Q8T4F2	FBgn0030620
Q8IRD5	FBgn0035437
Q9XZ58	FBgn0027053
A1Z6E0	FBgn0026238
Q07407	FBgn0010389
M9NE16	FBgn0035533
Q7KSD3	FBgn0023083
P81909	FBgn0026398
Q9VSH4	FBgn0035872
O97111	FBgn0026192
Q9VFG8	FBgn0262127
Q9VEN1	FBgn0014141
Q9VVX3	FBgn0016797
Q9Y165	FBgn0027609
Q86BA1	FBgn0053208
Q9VKW3	FBgn0032244
P49847	FBgn0010417
Q9NKV0	FBgn0034051
P13002	FBgn0259211
Q9I7L4	FBgn0037481
Q9VH76	FBgn0266720
Q960T6	FBgn0036480
O96880	FBgn0015828
Q8SYC0	FBgn0000114
O97159	FBgn0262519
Q9VF87	FBgn0038320
Q9VI58	FBgn0037470
Q8T390	FBgn0038659
Q9VMA3	FBgn0000392
Q9VIH1	FBgn0032906
P02836	FBgn0000577
Q8I8U7	FBgn0053554
Q9V461	FBgn0025815
P13677	FBgn0004784
Q9V428	FBgn0028546
P24785	FBgn0002774
Q7KUA4	FBgn0029113
Q7JVP4	FBgn0033155
Q24298	FBgn0003391
M9MRE1	FBgn0032006
Q709R6	FBgn0037719
Q45VV3	FBgn0034970
Q9VJY9	FBgn0032515
P08182	FBgn0000259
P17133	FBgn0016978
Q9V3Q6	FBgn0026323
Q9VKV4	FBgn0032251
Q9VNE4	FBgn0261004
P54357	FBgn0004687
Q9W2P5	FBgn0034564
Q94534	FBgn0013433
Q9VEZ5	FBgn0024222
Q94517	FBgn0015805
Q6NN29	FBgn0013718
P48994	FBgn0005614
Q24459	FBgn0003044
P07663	FBgn0003068
P18091	FBgn0000667
P20659	FBgn0003862
Q9VF25	FBgn0038371
Q9VGE4	FBgn0037979
Q9VY77	FBgn0030530
Q7KND8	FBgn0026326
Q8IP45	FBgn0261268
O62589	FBgn0000808
Q9W5R8	FBgn0064225
P09774	FBgn0002561
Q9VQD8	FBgn0031437
P43332	FBgn0003449
Q9W1A3	FBgn0021875
Q8INQ9	FBgn0020249
Q8MQJ9	FBgn0010300
Q9VM65	FBgn0031871
P54733	FBgn0010382
Q9VNB5	FBgn0037324
Q24152	FBgn0010314
P07247	FBgn0001325
Q9VVX0	FBgn0036850
Q9W501	FBgn0027296
Q9VE51	FBgn0261065
Q9V3I2	FBgn0014010
Q9W1K4	FBgn0000562
P10083	FBgn0000022
A1Z802	FBgn0033450
Q9VVV9	FBgn0002945
O77237	FBgn0025574
P26308	FBgn0001105
P25822	FBgn0003165
P16621	FBgn0000464
