dataset,taxaID,locus,gene,essentiality,pmid,Ref_db
110,7227,FBgn0000536,eas,C,,flybase
110,7227,FBgn0000537,eay,E,,flybase
110,7227,FBgn0000539,E(B),E,,flybase
110,7227,FBgn0000541,E(bx),C,,flybase
110,7227,FBgn0000542,ec,C,,flybase
110,7227,FBgn0000543,ecd,C,,flybase
110,7227,FBgn0000546,EcR,C,,flybase
110,7227,FBgn0000547,ed,C,,flybase
110,7227,FBgn0000551,Edg78E,NE,,flybase
110,7227,FBgn0000552,Edg84A,NE,,flybase
110,7227,FBgn0000555,E(f),E,,flybase
110,7227,FBgn0000557,eEF1alpha2,C,,flybase
110,7227,FBgn0000559,eEF2,E,,flybase
110,7227,FBgn0000560,eg,C,,flybase
110,7227,FBgn0000562,egl,NE,,flybase
110,7227,FBgn0000564,Eh,C,,flybase
110,7227,FBgn0000565,Eip71CD,NE,,flybase
110,7227,FBgn0000566,Eip55E,C,,flybase
110,7227,FBgn0000567,Eip74EF,C,,flybase
110,7227,FBgn0000568,Eip75B,C,,flybase
110,7227,FBgn0000573,elr,NE,,flybase
110,7227,FBgn0000574,elyC,E,,flybase
110,7227,FBgn0000575,emc,C,,flybase
110,7227,FBgn0000576,ems,C,,flybase
110,7227,FBgn0000577,en,C,,flybase
110,7227,FBgn0000578,ena,C,,flybase
110,7227,FBgn0000579,Eno,C,,flybase
110,7227,FBgn0000580,eor,E,,flybase
110,7227,FBgn0000581,E(Pc),C,,flybase
110,7227,FBgn0000583,eql,E,,flybase
110,7227,FBgn0000585,erratic,E,,flybase
110,7227,FBgn0000586,es,E,,flybase
110,7227,FBgn0000588,esc,C,,flybase
110,7227,FBgn0000591,E(spl)m8-HLH,C,,flybase
110,7227,FBgn0000592,Est-6,NE,,flybase
110,7227,FBgn0000594,Est-P,NE,,flybase
110,7227,FBgn0000600,E(var)88D,E,,flybase
110,7227,FBgn0000601,E(var)100C-F,E,,flybase
110,7227,FBgn0000602,E(var)301,NE,,flybase
110,7227,FBgn0000603,E(var)302,NE,,flybase
110,7227,FBgn0000604,E(var)303,NE,,flybase
110,7227,FBgn0000605,E(var)c101,NE,,flybase
110,7227,FBgn0000606,eve,C,,flybase
110,7227,FBgn0000607,E(w[a]),E,,flybase
110,7227,FBgn0000611,exd,E,,flybase
110,7227,FBgn0000612,exi,NE,,flybase
110,7227,FBgn0000614,Ext,E,,flybase
110,7227,FBgn0000615,exu,C,,flybase
110,7227,FBgn0000617,e(y)1,C,,flybase
110,7227,FBgn0000618,e(y)2,C,,flybase
110,7227,FBgn0000624,Eye,E,,flybase
110,7227,FBgn0000625,eyg,C,,flybase
110,7227,FBgn0000629,E(z),C,,flybase
110,7227,FBgn0000631,fai,E,,flybase
110,7227,FBgn0000633,CG17716,NE,,flybase
110,7227,FBgn0000635,Fas2,C,,flybase
110,7227,FBgn0000636,Fas3,C,,flybase
110,7227,FBgn0000639,Fbp1,NE,,flybase
110,7227,FBgn0000640,Fbp2,C,,flybase
110,7227,FBgn0000641,fc,NE,,flybase
110,7227,FBgn0000642,fch,E,,flybase
110,7227,FBgn0000643,fcl,E,,flybase
110,7227,FBgn0000644,Fcp3C,NE,,flybase
110,7227,FBgn0000649,fdg,E,,flybase
110,7227,FBgn0000653,ff,NE,,flybase
110,7227,FBgn0000655,fi,E,,flybase
110,7227,FBgn0000656,fil,NE,,flybase
110,7227,FBgn0000657,fin,NE,,flybase
110,7227,FBgn0000658,fj,C,,flybase
110,7227,FBgn0000659,fkh,C,,flybase
110,7227,FBgn0000661,fl(1)302,C,,flybase
110,7227,FBgn0000662,fl(2)d,C,,flybase
110,7227,FBgn0000663,fla,NE,,flybase
110,7227,FBgn0000664,fle,C,,flybase
110,7227,FBgn0000667,Actn,C,,flybase
110,7227,FBgn0000669,fliC,E,,flybase
110,7227,FBgn0000672,fliG,E,,flybase
110,7227,FBgn0000686,l(1)adl16,E,,flybase
110,7227,FBgn0000709,fliI,C,,flybase
110,7227,FBgn0000711,flw,C,,flybase
110,7227,FBgn0000715,FMRFa,C,,flybase
110,7227,FBgn0000716,fnc,NE,,flybase
110,7227,FBgn0000718,Forkoid,E,,flybase
110,7227,FBgn0000719,fog,C,,flybase
110,7227,FBgn0000721,for,C,,flybase
