ID,dataset,taxaID,locus,gene,score,essentiality,Ref_db,pmid
136223,173,83333,b3779,,,NE,,16738554
136224,173,83333,b3778,,,NE,,16738554
136225,173,83333,b3777,,,NE,,16738554
136226,173,83333,b3776,,,NE,,16738554
136227,173,83333,b3775,,,NE,,16738554
136228,173,83333,b3774,,,NE,,16738554
136229,173,83333,b3773,,,NE,,16738554
136230,173,83333,b3772,,,NE,,16738554
136231,173,83333,b3771,,,NE,,16738554
136232,173,83333,b3770,,,NE,,16738554
136233,173,83333,b3769,,,NE,,16738554
136234,173,83333,b3768,,,NE,,16738554
136235,173,83333,b3767,,,NE,,16738554
136236,173,83333,b3766,,,NE,,16738554
136237,173,83333,b3765,,,NE,,16738554
136238,173,83333,b3764,,,NE,,16738554
136239,173,83333,b3755,,,NE,,16738554
136240,173,83333,b3754,,,NE,,16738554
136241,173,83333,b3753,,,NE,,16738554
136242,173,83333,b3752,,,NE,,16738554
136243,173,83333,b3751,,,NE,,16738554
136244,173,83333,b3750,,,NE,,16738554
136245,173,83333,b3749,,,NE,,16738554
136246,173,83333,b3748,,,NE,,16738554
136247,173,83333,b3747,,,NE,,16738554
136248,173,83333,b3746,,,NE,,16738554
136249,173,83333,b3745,,,NE,,16738554
136250,173,83333,b3744,,,NE,,16738554
136251,173,83333,b3743,,,NE,,16738554
136252,173,83333,b3742,,,NE,,16738554
136253,173,83333,b3741,,,NE,,16738554
136254,173,83333,b3740,,,NE,,16738554
136255,173,83333,b3739,,,NE,,16738554
136256,173,83333,b3738,,,NE,,16738554
136257,173,83333,b3737,,,NE,,16738554
136258,173,83333,b3736,,,NE,,16738554
136259,173,83333,b3735,,,NE,,16738554
136260,173,83333,b3734,,,NE,,16738554
136261,173,83333,b3733,,,NE,,16738554
136262,173,83333,b3732,,,NE,,16738554
136263,173,83333,b3731,,,NE,,16738554
136264,173,83333,b3730,,,E,,16738554
136265,173,83333,b3729,,,E,,16738554
136266,173,83333,b3728,,,NE,,16738554
