B7YZJ0_DROME	FBgn0265487
I7BCJ6_DROME	FBgn0265487
Q9VAD7_DROME	FBgn0039723
TALDO_DROME	FBgn0023477
DONS_DROME	FBgn0086695
A0A126GUQ3_DROME	FBgn0086695
LSP2_DROME	FBgn0002565
X2JCV2_DROME	FBgn0002565
MCES_DROME	FBgn0286027
Q8SYA4_DROME	FBgn0034330
Q9VK44_DROME	FBgn0032467
ANDP_DROME	FBgn0000094
A0A0B4LHV6_DROME	FBgn0000094
Q9VS07_DROME	FBgn0035730
GLEC_DROME	FBgn0015229
A0A0B4K6B9_DROME	FBgn0037536
A0A0B4KFB0_DROME	FBgn0037536
A0A0B4KFG1_DROME	FBgn0037536
A0A0B4KGF1_DROME	FBgn0037536
B7Z0V2_DROME	FBgn0037536
D6W4L3_DROME	FBgn0037536
Q9VHX5_DROME	FBgn0037536
WAPL_DROME	FBgn0004655
X2JAA8_DROME	FBgn0004655
TOLL_DROME	FBgn0262473
A0A0B4KHY4_DROME	FBgn0262473
Q7KMP8_DROME	FBgn0028691
SINAL_DROME	FBgn0259794
DUSK3_DROME	FBgn0036844
M9PFW0_DROME	FBgn0036844
M9PG13_DROME	FBgn0036844
TTKA_DROME	FBgn0003870
TTKB_DROME	FBgn0003870
A0A0B4JD39_DROME	FBgn0003870
A0A0B4JDG1_DROME	FBgn0003870
Q9VDM7_DROME	FBgn0038795
A4UZB1_DROME	FBgn0262169
Q0E9E0_DROME	FBgn0262169
A1Z898_DROME	FBgn0033526
HCD2_DROME	FBgn0021765
D5A7S2_DROME	FBgn0021765
Q9I7N2_DROME	FBgn0042125
Y1161_DROME	FBgn0037313
Q59E06_DROME	FBgn0037313
A0A0B4KF57_DROME	FBgn0037218
A0A0B4KG14_DROME	FBgn0037218
Q9VMY8_DROME	FBgn0037218
Q9U1L6_DROME	FBgn0040358
Q9VRV4_DROME	FBgn0022699
Q9VLD7_DROME	FBgn0032104
Q8T915_DROME	FBgn0037296
Q8IPV7_DROME	FBgn0043364
Q9VPQ5_DROME	FBgn0043364
Q9W028_DROME	FBgn0035328
EXPA_DROME	FBgn0004583
M9PC08_DROME	FBgn0004583
NAA35_DROME	FBgn0034982
Q9VY48_DROME	FBgn0030552
Q8IG95_DROME	FBgn0037207
Q9VNP3_DROME	FBgn0037207
BM836_DROME	FBgn0040735
Q9VUE1_DROME	FBgn0036419
A1Z8C0_DROME	FBgn0033549
UBE2S_DROME	FBgn0030863
X2JFX0_DROME	FBgn0030863
Q9VTD2_DROME	FBgn0036112
NU154_DROME	FBgn0021761
SAHH2_DROME	FBgn0035371
WIF1_DROME	FBgn0003390
X2JAQ0_DROME	FBgn0003390
X2JCU9_DROME	FBgn0003390
X2JED7_DROME	FBgn0003390
OR42A_DROME	FBgn0033041
Q9W4H8_DROME	FBgn0022768
Q9VV11_DROME	FBgn0036589
Q8SWU6_DROME	FBgn0035547
Q9VW59_DROME	FBgn0036921
GLT35_DROME	FBgn0001970
M9PD03_DROME	FBgn0032101
Q8SYU0_DROME	FBgn0032101
RPB4_DROME	FBgn0263757
A0A0B4KEF7_DROME	FBgn0033372
A0A0B4KEN1_DROME	FBgn0033372
A0A0B4LEX2_DROME	FBgn0033372
A1Z7N4_DROME	FBgn0033372
Q9VXR5_DROME	FBgn0030672
SRR55_DROME	FBgn0004587
A0A0C4DHG5_DROME	FBgn0004587
TXND5_DROME	FBgn0030329
Q9W2H0_DROME	FBgn0034627
DPOE1_DROME	FBgn0264326
XPO2_DROME	FBgn0022213
Q9VUS8_DROME	FBgn0004592
Q9W4K1_DROME	FBgn0003210
FD5_DROME	FBgn0004898
