P92177	14-3-3epsilon	FBgn0020238
Q9VPL6	kis	FBgn0266557
A0A0B4JD57	zip	FBgn0265434
A0A0B4KGI7	Stat92E	FBgn0016917
Q8T9E3	RhoGEF2	FBgn0023172
M9PFM9	crol	FBgn0020309
A0A0B4KGW2	sr	FBgn0003499
R9PY40	wb	FBgn0261563
A0A0B4K852	sm	FBgn0003435
M9ND95	Mhc	FBgn0264695
Q95TH9	Hsf	FBgn0001222
Q7KAK2	Fpps	FBgn0025373
M9PDV1	dia	FBgn0011202
M9PBG9	trh	FBgn0262139
M9NDM6	Prm	FBgn0003149
A0A0B4K8A2	sm	FBgn0003435
M9PI82	Mo25	FBgn0017572
Q8IPK9	tkv	FBgn0003716
A0A0B4KF04	sm	FBgn0003435
E1JGY2	EcR	FBgn0000546
Q0E8A7	mub	FBgn0262737
Q24591	18w	FBgn0287775
E1JIG1	neur	FBgn0002932
M9PFX0	Abl	FBgn0000017
A0A0B4KHL1	srp	FBgn0003507
Q24326	tkv	FBgn0003716
E2QCT0	Eip74EF	FBgn0000567
M9PFI8	Abl	FBgn0000017
Q0KI03	Doa	FBgn0265998
Q7KV89	msn	FBgn0010909
A0A0B4KFI7	Pfk	FBgn0003071
A0A0B4K7H8	sm	FBgn0003435
Q961A5	glu	FBgn0015391
E1JIJ5	Vha55	FBgn0005671
A0A0S0WH29	ftz-f1	FBgn0001078
Q8MSZ8	slmb	FBgn0283468
A0A0B4K8A1	sm	FBgn0003435
Q966V5	dally	FBgn0263930
A0A0B4K7W7	sm	FBgn0003435
Q24229	put	FBgn0003169
A0A0B4KEZ1	Pcl	FBgn0003044
X2J847	bun	FBgn0259176
A8JNU2	Abl	FBgn0000017
M9NF46	Mhc	FBgn0264695
A0A0B4K6Y8	Tm1	FBgn0003721
P91654	dap	FBgn0010316
A8DZ02	kuz	FBgn0259984
Q59DY9	dac	FBgn0005677
A1Z6I9	Src42A	FBgn0264959
A0A0B4K661	Tm1	FBgn0003721
Q24477	repo	FBgn0011701
A0A0B4KI54	stg	FBgn0003525
O44381	RhoGEF2	FBgn0023172
M9NEP1	Mhc	FBgn0264695
E2QCL8	Phm	FBgn0283509
A0A0B4KHV0	Fur1	FBgn0004509
A0A0B4LHS9	Rga	FBgn0017550
A0A0C4DHG9	Doa	FBgn0265998
E1JHJ5	Mhc	FBgn0264695
Q8IP20	dac	FBgn0005677
M9PGF7	Ten-m	FBgn0004449
X2J5T3	Rab6	FBgn0015797
A8JRF7	Doa	FBgn0265998
X2J9R2	Coprox	FBgn0021944
A0A0C4DHG5	B52	FBgn0004587
E1JHM7	Hr38	FBgn0014859
A0A0B4K6B8	mod(mdg4)	FBgn0002781
A0A0B4KHS7	Stat92E	FBgn0016917
M9NDB7	kis	FBgn0266557
A0A0B4LF82	Sin3A	FBgn0022764
M9PDQ7	trh	FBgn0262139
Q9U9P6	glu	FBgn0015391
M9PI83	Abl	FBgn0000017
Q23975	babo	FBgn0011300
A0A0B4LI25	ncd	FBgn0002924
M9PBL3	Hsp83	FBgn0001233
M9PCX8	Btk29A	FBgn0003502
A0A0B4KFM9	Xe7	FBgn0010772
O01348	klu	FBgn0013469
A0A0B4KI00	Orct	FBgn0019952
A0A0B4LGL8	bs	FBgn0004101
A0A0B4K7G9	Nurf-38	FBgn0016687
Q8MLW7	Xbp1	FBgn0021872
O44382	slmb	FBgn0283468
A1ZBR2	18w	FBgn0287775
A0A0B4KF46	Uba1	FBgn0023143
A0A0B4KG06	Tm1	FBgn0003721
A0A0B4LFY0	thr	FBgn0003701
A0A0B4LG23	cora	FBgn0010434
O18407	vkg	FBgn0016075
A1Z7L8	babo	FBgn0011300
E1JIR4	Atpalpha	FBgn0002921
Q95T01	put	FBgn0003169
A0A0B4LFF8	RhoGEF2	FBgn0023172
M9PFI5	Abl	FBgn0000017
A4V1N9	Prm	FBgn0003149
Q95R99	crol	FBgn0020309
Q7JPR9	18w	FBgn0287775
A0A0S0WIG6	Eip75B	FBgn0000568
Q6SAT2	Egfr	FBgn0003731
Q6SAT6	Egfr	FBgn0003731
Q6SBF1	Egfr	FBgn0003731
Q6SAU3	Egfr	FBgn0003731
Q7JPZ3	Ubi-p63E	FBgn0003943
Q6SAG1	Egfr	FBgn0003731
Q6SAC0	Egfr	FBgn0003731
Q6SBX2	Egfr	FBgn0003731
M9PD57	stc	FBgn0001978
Q7KYA8	prod	FBgn0014269
Q6SAV0	Egfr	FBgn0003731
Q6SAC7	Egfr	FBgn0003731
Q95SX3	Eip74EF	FBgn0000567
Q6SB48	Egfr	FBgn0003731
Q99350	Ubi-p63E	FBgn0003943
Q6LEH1	Tm1	FBgn0003721
Q6SAD5	Egfr	FBgn0003731
Q6SAI5	Egfr	FBgn0003731
Q6SAA4	Egfr	FBgn0003731
Q86PC0	crp	FBgn0001994
Q6SAE1	Egfr	FBgn0003731
Q6SAY7	Egfr	FBgn0003731
Q6SAJ5	Egfr	FBgn0003731
Q2PDY1	Trl	FBgn0013263
Q6SAI2	Egfr	FBgn0003731
Q6SAK0	Egfr	FBgn0003731
Q5BHZ7	dap	FBgn0010316
A0A0B4KHF0	Fer2LCH	FBgn0015221
Q8MQL7	shn	FBgn0003396
O18390	neb	FBgn0004374
Q86P89	sm	FBgn0003435
Q6SAZ0	Egfr	FBgn0003731
Q9VQL8	toc	FBgn0015600
Q6SAT7	Egfr	FBgn0003731
Q5UHE2	ncd	FBgn0002924
Q6SAV1	Egfr	FBgn0003731
Q6SAH9	Egfr	FBgn0003731
Q6SAP0	Egfr	FBgn0003731
Q6SAV6	Egfr	FBgn0003731
Q6SAV8	Egfr	FBgn0003731
Q6SAU5	Egfr	FBgn0003731
Q6SAX3	Egfr	FBgn0003731
Q6SAI7	Egfr	FBgn0003731
Q8T996	vimar	FBgn0022960
Q6SAS6	Egfr	FBgn0003731
Q2EJS1	Catsup	FBgn0002022
Q6SAT8	Egfr	FBgn0003731
Q8SXP5	sm	FBgn0003435
Q7JMZ1	neb	FBgn0004374
Q6SAH1	Egfr	FBgn0003731
Q5BII1	CrebA	FBgn0004396
O44203	apt	FBgn0015903
Q6SAV7	Egfr	FBgn0003731
Q6SAW2	Egfr	FBgn0003731
Q6SBV5	Egfr	FBgn0003731
Q6SAZ9	Egfr	FBgn0003731
Q2EJM5	Catsup	FBgn0002022
Q95TA6	lola	FBgn0283521
Q6SAK3	Egfr	FBgn0003731
Q6SAB0	Egfr	FBgn0003731
Q6SAW0	Egfr	FBgn0003731
Q6SAS7	Egfr	FBgn0003731
Q86BZ1	Hsf	FBgn0001222
Q6SAW8	Egfr	FBgn0003731
Q8SWR6	14-3-3zeta	FBgn0004907
Q24107	shn	FBgn0003396
Q2EJF2	Catsup	FBgn0002022
Q8T3M3	ttk	FBgn0003870
Q3YNF0	scb	FBgn0286785
Q6SAP4	Egfr	FBgn0003731
Q6SAZ8	Egfr	FBgn0003731
Q8IGV5	spdo	FBgn0260440
Q70BZ0	mod(mdg4)	FBgn0002781
Q7KMQ5	Fer1HCH	FBgn0015222
Q6SAE8	Egfr	FBgn0003731
M9PEE1	smid	FBgn0016983
Q6SAL8	Egfr	FBgn0003731
Q6SBJ6	Egfr	FBgn0003731
Q6SAX0	Egfr	FBgn0003731
Q6SAD1	Egfr	FBgn0003731
Q6SAY6	Egfr	FBgn0003731
Q6SAY4	Egfr	FBgn0003731
Q6SAE0	Egfr	FBgn0003731
A4UZY2	S	FBgn0003310
Q8IGF5	lola	FBgn0283521
Q2EJR5	Catsup	FBgn0002022
Q6SAU6	Egfr	FBgn0003731
Q6SAM7	Egfr	FBgn0003731
Q2EJB7	Catsup	FBgn0002022
Q5BIB3	Eip75B	FBgn0000568
Q6SB04	Egfr	FBgn0003731
Q6SAS3	Egfr	FBgn0003731
Q6SAY9	Egfr	FBgn0003731
Q6SB28	Egfr	FBgn0003731
Q27927	Ubi-p63E	FBgn0003943
Q6SB30	Egfr	FBgn0003731
Q8MZ04	vri	FBgn0016076
Q6SAH7	Egfr	FBgn0003731
Q2EJD6	Catsup	FBgn0002022
Q6SBC4	Egfr	FBgn0003731
