Q9W3Y5	FBgn0029880
Q9VKM7	FBgn0053129
Q0E8X9	FBgn0040063
Q9W4I6	FBgn0025613
Q9VMS4	FBgn0016076
Q9VF72	FBgn0038330
Q9VKS9	FBgn0043825
Q9VTW2	FBgn0036273
Q9VI09	FBgn0037433
Q9W4B1	FBgn0085464
Q9VGY5	FBgn0037822
Q02280	FBgn0000535
Q9VU93	FBgn0040812
Q9VLH0	FBgn0032075
Q9VEA1	FBgn0026250
A1Z6N5	FBgn0033093
P49906	FBgn0011291
Q9W3X0	FBgn0029895
Q9VYJ3	FBgn0052647
Q9VQ36	FBgn0086698
Q8T4H6	FBgn0032894
Q9VJ33	FBgn0032725
Q9VTY2	FBgn0036290
Q9I7L4	FBgn0037481
Q9VUQ5	FBgn0087035
Q9VPQ6	FBgn0003963
Q9NB71	FBgn0030600
Q9W0W6	FBgn0035092
Q9VIJ5	FBgn0032884
Q9VNS1	FBgn0037183
Q7KMH9	FBgn0027499
Q9VJB0	FBgn0032660
Q9VMR8	FBgn0031701
Q9VCL6	FBgn0039084
P16163	FBgn0003961
Q8SXR5	FBgn0034054
P04412	FBgn0003731
Q9VSL3	FBgn0086348
Q9VTX5	FBgn0020655
Q9VSF9	FBgn0035858
O46108	FBgn0023495
Q8IRR5	FBgn0029783
A1Z6Z7	FBgn0033183
Q8MSS1	FBgn0029688
P92181	FBgn0020642
Q9VNL4	FBgn0051559
Q4V5H1	FBgn0033089
P07486	FBgn0001091
Q7JVK6	FBgn0033528
Q9NBD7	FBgn0021760
Q27415	FBgn0016685
Q8IP52	FBgn0263038
O44386	FBgn0286785
Q9VQZ3	FBgn0031602
Q8SXG2	FBgn0262976
Q6QU65	FBgn0265140
P06742	FBgn0002772
Q9NHV9	FBgn0040068
Q9VGF7	FBgn0260743
Q9VBW9	FBgn0039283
Q9VSY9	FBgn0035993
Q9VNS8	FBgn0037176
Q8MSX0	FBgn0016701
Q9VPD4	FBgn0037009
X2JAY2	FBgn0265413
O96689	FBgn0260987
Q24307	FBgn0015247
Q9VWI2	FBgn0031020
Q03427	FBgn0010397
P23023	FBgn0000504
Q8SX86	FBgn0035461
Q9VQB9	FBgn0031423
Q960V3	FBgn0262872
Q8SXR4	FBgn0050339
Q9VVU4	FBgn0036827
